Epoch: [0][0/632], 	Time 5.543 (5.543)	Data 4.616 (4.616)	Loss 0.6903 (0.6903)	Precision 0.133 (0.133)	Recall 0.183 (0.183)	mAP 0.314 (0.314)
Epoch: [0][20/632], 	Time 0.076 (0.389)	Data 0.000 (0.275)	Loss 0.2004 (0.3958)	Precision 0.000 (0.006)	Recall 0.000 (0.009)	mAP 0.627 (0.396)
Epoch: [0][40/632], 	Time 0.077 (0.307)	Data 0.000 (0.212)	Loss 0.2155 (0.3279)	Precision 0.000 (0.008)	Recall 0.000 (0.016)	mAP 0.538 (0.455)
Epoch: [0][60/632], 	Time 0.079 (0.329)	Data 0.000 (0.241)	Loss 0.2218 (0.2955)	Precision 0.000 (0.005)	Recall 0.000 (0.011)	mAP 0.702 (0.503)
Epoch: [0][80/632], 	Time 0.077 (0.288)	Data 0.000 (0.202)	Loss 0.2526 (0.2796)	Precision 0.000 (0.004)	Recall 0.000 (0.008)	mAP 0.676 (0.543)
Epoch: [0][100/632], 	Time 0.077 (0.255)	Data 0.000 (0.171)	Loss 0.2341 (0.2689)	Precision 0.000 (0.016)	Recall 0.000 (0.016)	mAP 0.728 (0.562)
Epoch: [0][120/632], 	Time 0.077 (0.242)	Data 0.000 (0.161)	Loss 0.2435 (0.2575)	Precision 0.000 (0.036)	Recall 0.000 (0.033)	mAP 0.811 (0.598)
Epoch: [0][140/632], 	Time 0.078 (0.242)	Data 0.000 (0.163)	Loss 0.1887 (0.2492)	Precision 0.125 (0.052)	Recall 0.250 (0.045)	mAP 0.629 (0.617)
Epoch: [0][160/632], 	Time 0.076 (0.258)	Data 0.000 (0.179)	Loss 0.1701 (0.2432)	Precision 0.167 (0.075)	Recall 0.139 (0.065)	mAP 0.731 (0.630)
Epoch: [0][180/632], 	Time 0.073 (0.260)	Data 0.000 (0.183)	Loss 0.1949 (0.2376)	Precision 0.083 (0.089)	Recall 0.083 (0.077)	mAP 0.708 (0.646)
Epoch: [0][200/632], 	Time 0.076 (0.253)	Data 0.000 (0.175)	Loss 0.1901 (0.2329)	Precision 0.250 (0.103)	Recall 0.167 (0.088)	mAP 0.889 (0.663)
Epoch: [0][220/632], 	Time 0.077 (0.251)	Data 0.000 (0.175)	Loss 0.1393 (0.2273)	Precision 0.286 (0.117)	Recall 0.286 (0.102)	mAP 0.929 (0.674)
