Epoch: [0][0/632], 	Time 2.173 (2.173)	Data 0.659 (0.659)	Loss 0.6911 (0.6911)	Precision 0.119 (0.119)	Recall 0.444 (0.444)	mAP 0.377 (0.377)
Epoch: [0][20/632], 	Time 0.088 (0.186)	Data 0.000 (0.031)	Loss 0.2823 (0.3774)	Precision 0.000 (0.025)	Recall 0.000 (0.034)	mAP 0.387 (0.406)
Epoch: [0][40/632], 	Time 0.086 (0.139)	Data 0.000 (0.016)	Loss 0.2589 (0.3183)	Precision 0.000 (0.013)	Recall 0.000 (0.017)	mAP 0.470 (0.445)
Epoch: [0][60/632], 	Time 0.089 (0.122)	Data 0.000 (0.011)	Loss 0.2407 (0.2932)	Precision 0.000 (0.009)	Recall 0.000 (0.012)	mAP 0.515 (0.460)
Epoch: [0][80/632], 	Time 0.089 (0.114)	Data 0.000 (0.008)	Loss 0.2655 (0.2815)	Precision 0.000 (0.006)	Recall 0.000 (0.009)	mAP 0.626 (0.483)
Epoch: [0][100/632], 	Time 0.088 (0.109)	Data 0.000 (0.007)	Loss 0.2674 (0.2733)	Precision 0.000 (0.005)	Recall 0.000 (0.007)	mAP 0.608 (0.500)
Epoch: [0][120/632], 	Time 0.088 (0.106)	Data 0.000 (0.006)	Loss 0.1901 (0.2667)	Precision 0.000 (0.004)	Recall 0.000 (0.006)	mAP 0.623 (0.515)
Epoch: [0][140/632], 	Time 0.090 (0.104)	Data 0.000 (0.005)	Loss 0.2432 (0.2606)	Precision 0.000 (0.004)	Recall 0.000 (0.005)	mAP 0.653 (0.535)
Epoch: [0][160/632], 	Time 0.090 (0.102)	Data 0.000 (0.004)	Loss 0.2140 (0.2561)	Precision 0.167 (0.004)	Recall 0.167 (0.005)	mAP 0.681 (0.551)
Epoch: [0][180/632], 	Time 0.090 (0.100)	Data 0.000 (0.004)	Loss 0.2114 (0.2520)	Precision 0.000 (0.009)	Recall 0.000 (0.007)	mAP 0.617 (0.566)
Epoch: [0][200/632], 	Time 0.091 (0.099)	Data 0.000 (0.003)	Loss 0.2178 (0.2485)	Precision 0.000 (0.021)	Recall 0.000 (0.016)	mAP 0.804 (0.581)
Epoch: [0][220/632], 	Time 0.089 (0.098)	Data 0.000 (0.003)	Loss 0.1807 (0.2446)	Precision 0.500 (0.027)	Recall 0.333 (0.019)	mAP 0.833 (0.596)
Epoch: [0][240/632], 	Time 0.090 (0.098)	Data 0.000 (0.003)	Loss 0.2227 (0.2411)	Precision 0.167 (0.041)	Recall 0.056 (0.027)	mAP 0.683 (0.611)
Epoch: [0][260/632], 	Time 0.089 (0.097)	Data 0.000 (0.003)	Loss 0.2033 (0.2401)	Precision 0.143 (0.048)	Recall 0.048 (0.031)	mAP 0.858 (0.618)
Epoch: [0][280/632], 	Time 0.090 (0.096)	Data 0.000 (0.002)	Loss 0.2011 (0.2373)	Precision 0.143 (0.054)	Recall 0.143 (0.036)	mAP 0.819 (0.629)
Epoch: [0][300/632], 	Time 0.092 (0.096)	Data 0.000 (0.002)	Loss 0.2122 (0.2347)	Precision 0.143 (0.060)	Recall 0.143 (0.041)	mAP 0.762 (0.641)
Epoch: [0][320/632], 	Time 0.092 (0.096)	Data 0.000 (0.002)	Loss 0.2681 (0.2316)	Precision 0.125 (0.070)	Recall 0.062 (0.048)	mAP 0.594 (0.652)
Epoch: [0][340/632], 	Time 0.091 (0.095)	Data 0.000 (0.002)	Loss 0.1290 (0.2286)	Precision 0.500 (0.081)	Recall 0.444 (0.057)	mAP 0.972 (0.661)
Epoch: [0][360/632], 	Time 0.089 (0.095)	Data 0.000 (0.002)	Loss 0.2170 (0.2270)	Precision 0.000 (0.086)	Recall 0.000 (0.061)	mAP 0.524 (0.666)
Epoch: [0][380/632], 	Time 0.089 (0.095)	Data 0.000 (0.002)	Loss 0.2150 (0.2248)	Precision 0.000 (0.092)	Recall 0.000 (0.066)	mAP 0.860 (0.673)
Epoch: [0][400/632], 	Time 0.090 (0.094)	Data 0.000 (0.002)	Loss 0.1406 (0.2230)	Precision 0.333 (0.099)	Recall 0.250 (0.073)	mAP 1.000 (0.679)
Epoch: [0][420/632], 	Time 0.089 (0.094)	Data 0.000 (0.002)	Loss 0.1954 (0.2209)	Precision 0.400 (0.109)	Recall 0.250 (0.081)	mAP 0.704 (0.685)
Epoch: [0][440/632], 	Time 0.088 (0.094)	Data 0.000 (0.002)	Loss 0.1740 (0.2195)	Precision 0.167 (0.114)	Recall 0.042 (0.085)	mAP 0.722 (0.689)
Epoch: [0][460/632], 	Time 0.089 (0.094)	Data 0.000 (0.002)	Loss 0.1454 (0.2174)	Precision 0.500 (0.124)	Recall 0.250 (0.093)	mAP 1.000 (0.694)
Epoch: [0][480/632], 	Time 0.083 (0.094)	Data 0.000 (0.001)	Loss 0.1881 (0.2158)	Precision 0.143 (0.130)	Recall 0.071 (0.097)	mAP 1.000 (0.699)
Epoch: [0][500/632], 	Time 0.090 (0.093)	Data 0.000 (0.001)	Loss 0.2159 (0.2148)	Precision 0.125 (0.134)	Recall 0.125 (0.101)	mAP 0.678 (0.703)
Epoch: [0][520/632], 	Time 0.092 (0.093)	Data 0.000 (0.001)	Loss 0.2430 (0.2136)	Precision 0.125 (0.140)	Recall 0.125 (0.106)	mAP 0.615 (0.706)
Epoch: [0][540/632], 	Time 0.091 (0.093)	Data 0.000 (0.001)	Loss 0.1735 (0.2124)	Precision 0.400 (0.145)	Recall 0.240 (0.109)	mAP 0.719 (0.709)
Epoch: [0][560/632], 	Time 0.089 (0.093)	Data 0.000 (0.001)	Loss 0.1332 (0.2110)	Precision 0.500 (0.151)	Recall 0.375 (0.113)	mAP 0.982 (0.712)
Epoch: [0][580/632], 	Time 0.090 (0.093)	Data 0.000 (0.001)	Loss 0.1930 (0.2101)	Precision 0.222 (0.154)	Recall 0.222 (0.117)	mAP 0.811 (0.716)
Epoch: [0][600/632], 	Time 0.090 (0.093)	Data 0.000 (0.001)	Loss 0.1661 (0.2089)	Precision 0.200 (0.159)	Recall 0.067 (0.121)	mAP 0.940 (0.720)
Epoch: [0][620/632], 	Time 0.089 (0.093)	Data 0.000 (0.001)	Loss 0.2198 (0.2078)	Precision 0.143 (0.166)	Recall 0.071 (0.127)	mAP 0.588 (0.723)
Test: [0/194]	Time 0.778 (0.778)	Loss 0.3135 (0.3135)
Test: [20/194]	Time 0.028 (0.067)	Loss 0.1082 (0.2082)
Test: [40/194]	Time 0.028 (0.049)	Loss 0.1226 (0.1670)
Test: [60/194]	Time 0.028 (0.042)	Loss 0.0871 (0.1478)
Test: [80/194]	Time 0.028 (0.039)	Loss 0.1575 (0.1393)
Test: [100/194]	Time 0.028 (0.036)	Loss 0.2047 (0.1433)
Test: [120/194]	Time 0.029 (0.036)	Loss 0.2279 (0.1538)
Test: [140/194]	Time 0.029 (0.036)	Loss 0.2875 (0.1699)
Test: [160/194]	Time 0.029 (0.036)	Loss 0.0962 (0.1557)
Test: [180/194]	Time 0.027 (0.035)	Loss 0.1883 (0.1594)
Testing Results: Best Threshold 0.10, mAP: 0.4471, Loss: 0.15899
Best mAP: 0.447, Best Threshold: 0.10

Epoch: [1][0/632], 	Time 0.592 (0.592)	Data 0.540 (0.540)	Loss 0.1612 (0.1612)	Precision 0.644 (0.644)	Recall 0.944 (0.944)	mAP 0.912 (0.912)
Epoch: [1][20/632], 	Time 0.089 (0.131)	Data 0.000 (0.046)	Loss 0.1153 (0.1752)	Precision 0.620 (0.449)	Recall 1.000 (0.775)	mAP 1.000 (0.841)
Epoch: [1][40/632], 	Time 0.088 (0.111)	Data 0.000 (0.023)	Loss 0.1895 (0.1697)	Precision 0.600 (0.483)	Recall 0.800 (0.785)	mAP 0.803 (0.847)
Epoch: [1][60/632], 	Time 0.084 (0.104)	Data 0.000 (0.016)	Loss 0.2004 (0.1699)	Precision 0.383 (0.487)	Recall 0.500 (0.771)	mAP 0.792 (0.860)
Epoch: [1][80/632], 	Time 0.092 (0.101)	Data 0.000 (0.012)	Loss 0.1952 (0.1660)	Precision 0.319 (0.488)	Recall 0.714 (0.784)	mAP 0.845 (0.868)
Epoch: [1][100/632], 	Time 0.091 (0.099)	Data 0.000 (0.010)	Loss 0.1764 (0.1662)	Precision 0.371 (0.489)	Recall 0.714 (0.783)	mAP 0.988 (0.868)
Epoch: [1][120/632], 	Time 0.090 (0.097)	Data 0.000 (0.008)	Loss 0.1320 (0.1637)	Precision 0.595 (0.488)	Recall 0.833 (0.794)	mAP 0.986 (0.867)
Epoch: [1][140/632], 	Time 0.094 (0.096)	Data 0.000 (0.007)	Loss 0.1573 (0.1632)	Precision 0.644 (0.489)	Recall 0.722 (0.790)	mAP 0.867 (0.866)
Epoch: [1][160/632], 	Time 0.092 (0.096)	Data 0.000 (0.006)	Loss 0.1924 (0.1625)	Precision 0.604 (0.488)	Recall 0.812 (0.790)	mAP 0.917 (0.864)
Epoch: [1][180/632], 	Time 0.090 (0.095)	Data 0.000 (0.005)	Loss 0.1217 (0.1617)	Precision 0.650 (0.488)	Recall 0.750 (0.788)	mAP 0.875 (0.864)
Epoch: [1][200/632], 	Time 0.089 (0.095)	Data 0.000 (0.005)	Loss 0.1412 (0.1614)	Precision 0.514 (0.489)	Recall 0.833 (0.785)	mAP 0.917 (0.863)
Epoch: [1][220/632], 	Time 0.091 (0.094)	Data 0.000 (0.004)	Loss 0.1535 (0.1595)	Precision 0.825 (0.496)	Recall 0.875 (0.787)	mAP 0.938 (0.866)
Epoch: [1][240/632], 	Time 0.091 (0.094)	Data 0.000 (0.004)	Loss 0.1726 (0.1606)	Precision 0.386 (0.494)	Recall 0.762 (0.782)	mAP 0.886 (0.864)
Epoch: [1][260/632], 	Time 0.091 (0.094)	Data 0.000 (0.004)	Loss 0.1797 (0.1604)	Precision 0.369 (0.496)	Recall 0.571 (0.783)	mAP 0.762 (0.863)
Epoch: [1][280/632], 	Time 0.091 (0.094)	Data 0.000 (0.003)	Loss 0.1147 (0.1596)	Precision 0.628 (0.500)	Recall 1.000 (0.783)	mAP 0.986 (0.864)
Epoch: [1][300/632], 	Time 0.093 (0.094)	Data 0.000 (0.003)	Loss 0.1982 (0.1594)	Precision 0.356 (0.501)	Recall 0.467 (0.783)	mAP 0.793 (0.863)
Epoch: [1][320/632], 	Time 0.089 (0.093)	Data 0.000 (0.003)	Loss 0.1437 (0.1584)	Precision 0.694 (0.505)	Recall 0.833 (0.784)	mAP 0.981 (0.865)
Epoch: [1][340/632], 	Time 0.088 (0.093)	Data 0.000 (0.003)	Loss 0.1580 (0.1587)	Precision 0.527 (0.505)	Recall 1.000 (0.783)	mAP 0.885 (0.866)
Epoch: [1][360/632], 	Time 0.091 (0.093)	Data 0.000 (0.003)	Loss 0.2911 (0.1586)	Precision 0.350 (0.506)	Recall 0.433 (0.785)	mAP 0.732 (0.865)
Epoch: [1][380/632], 	Time 0.091 (0.093)	Data 0.000 (0.003)	Loss 0.1820 (0.1584)	Precision 0.338 (0.508)	Recall 0.643 (0.784)	mAP 0.921 (0.865)
