Epoch: [0][0/478], 	Time 2.234 (2.234)	Data 1.045 (1.045)	Loss 0.6963 (0.6963)	Precision 0.057 (0.057)	Recall 0.211 (0.211)	mAP 0.158 (0.158)
Epoch: [0][20/478], 	Time 0.106 (0.196)	Data 0.000 (0.050)	Loss 0.2831 (0.4120)	Precision 0.000 (0.006)	Recall 0.000 (0.015)	mAP 0.708 (0.635)
Epoch: [0][40/478], 	Time 0.092 (0.147)	Data 0.000 (0.026)	Loss 0.2788 (0.3488)	Precision 0.067 (0.015)	Recall 0.011 (0.018)	mAP 0.732 (0.685)
Epoch: [0][60/478], 	Time 0.094 (0.129)	Data 0.000 (0.017)	Loss 0.2678 (0.3263)	Precision 0.000 (0.022)	Recall 0.000 (0.030)	mAP 0.657 (0.714)
Epoch: [0][80/478], 	Time 0.092 (0.120)	Data 0.000 (0.013)	Loss 0.2203 (0.3123)	Precision 0.050 (0.025)	Recall 0.050 (0.031)	mAP 0.932 (0.731)
Epoch: [0][100/478], 	Time 0.096 (0.115)	Data 0.000 (0.010)	Loss 0.2603 (0.3073)	Precision 0.050 (0.026)	Recall 0.050 (0.029)	mAP 0.833 (0.737)
Epoch: [0][120/478], 	Time 0.093 (0.111)	Data 0.000 (0.009)	Loss 0.3152 (0.3006)	Precision 0.029 (0.028)	Recall 0.050 (0.035)	mAP 0.457 (0.743)
Epoch: [0][140/478], 	Time 0.093 (0.109)	Data 0.000 (0.007)	Loss 0.2406 (0.2973)	Precision 0.000 (0.028)	Recall 0.000 (0.034)	mAP 0.811 (0.750)
Epoch: [0][160/478], 	Time 0.093 (0.107)	Data 0.000 (0.007)	Loss 0.2754 (0.2922)	Precision 0.038 (0.029)	Recall 0.067 (0.036)	mAP 0.786 (0.759)
Epoch: [0][180/478], 	Time 0.093 (0.105)	Data 0.000 (0.006)	Loss 0.2106 (0.2883)	Precision 0.111 (0.032)	Recall 0.087 (0.038)	mAP 0.832 (0.767)
Epoch: [0][200/478], 	Time 0.092 (0.104)	Data 0.000 (0.005)	Loss 0.2457 (0.2847)	Precision 0.040 (0.033)	Recall 0.050 (0.042)	mAP 0.857 (0.774)
Epoch: [0][220/478], 	Time 0.099 (0.103)	Data 0.000 (0.005)	Loss 0.2877 (0.2820)	Precision 0.025 (0.035)	Recall 0.067 (0.042)	mAP 0.754 (0.777)
Epoch: [0][240/478], 	Time 0.094 (0.102)	Data 0.000 (0.004)	Loss 0.2743 (0.2803)	Precision 0.133 (0.038)	Recall 0.089 (0.044)	mAP 0.753 (0.781)
Epoch: [0][260/478], 	Time 0.099 (0.102)	Data 0.000 (0.004)	Loss 0.2389 (0.2780)	Precision 0.133 (0.042)	Recall 0.107 (0.046)	mAP 0.943 (0.785)
Epoch: [0][280/478], 	Time 0.101 (0.102)	Data 0.000 (0.004)	Loss 0.2823 (0.2769)	Precision 0.050 (0.043)	Recall 0.067 (0.047)	mAP 0.751 (0.786)
Epoch: [0][300/478], 	Time 0.095 (0.102)	Data 0.000 (0.004)	Loss 0.2127 (0.2739)	Precision 0.178 (0.048)	Recall 0.167 (0.051)	mAP 0.834 (0.791)
Epoch: [0][320/478], 	Time 0.093 (0.101)	Data 0.000 (0.003)	Loss 0.2306 (0.2716)	Precision 0.053 (0.051)	Recall 0.067 (0.053)	mAP 0.786 (0.795)
Epoch: [0][340/478], 	Time 0.094 (0.101)	Data 0.000 (0.003)	Loss 0.3226 (0.2698)	Precision 0.027 (0.052)	Recall 0.067 (0.054)	mAP 0.657 (0.796)
Epoch: [0][360/478], 	Time 0.093 (0.100)	Data 0.000 (0.003)	Loss 0.2314 (0.2679)	Precision 0.133 (0.054)	Recall 0.078 (0.055)	mAP 0.828 (0.800)
Epoch: [0][380/478], 	Time 0.100 (0.100)	Data 0.000 (0.003)	Loss 0.2298 (0.2665)	Precision 0.133 (0.058)	Recall 0.133 (0.058)	mAP 0.825 (0.802)
